Seq,區碼,區名,地段碼,地段名,地號,經度,緯度
325,D35,龍崎區,7036,番社段,983,120.3906499480,22.9374378720
326,D35,龍崎區,7036,番社段,984,120.3909779922,22.9388715444
327,D35,龍崎區,7036,番社段,985,120.3904448493,22.9394106569
328,D35,龍崎區,7036,番社段,988,120.3894500201,22.9398735457
329,D35,龍崎區,7036,番社段,989,120.3905843192,22.9400836926
330,D35,龍崎區,7036,番社段,991-2,120.3887090710,22.9409157214
331,D35,龍崎區,7036,番社段,995,120.3919612492,22.9431825647
332,D35,龍崎區,7036,番社段,996,120.3912028889,22.9420699990
333,D35,龍崎區,7036,番社段,1000,120.3911861869,22.9468335468
334,D35,龍崎區,7036,番社段,1001,120.3908287744,22.9478364148
335,D35,龍崎區,7036,番社段,1002,120.3909256538,22.9481444812
336,D35,龍崎區,7036,番社段,1003,120.3900893168,22.9473950628
337,D35,龍崎區,7036,番社段,1005,120.3890374462,22.9492166395
338,D35,龍崎區,7036,番社段,1006,120.3883210444,22.9489940928
339,D35,龍崎區,7036,番社段,1010,120.3855487467,22.9499601961
340,D35,龍崎區,7036,番社段,1012,120.3869207220,22.9491432504
341,D35,龍崎區,7036,番社段,1018,120.3898369996,22.9455830155
342,D35,龍崎區,7036,番社段,1022,120.3877153549,22.9436719324
343,D35,龍崎區,7036,番社段,1024,120.3874475254,22.9424823078
344,D35,龍崎區,7036,番社段,1024-1,120.3894327763,22.9430016453
345,D35,龍崎區,7036,番社段,1027,120.3852602864,22.9407857334
346,D35,龍崎區,7036,番社段,1028,120.3815501389,22.9389783751
347,D35,龍崎區,7036,番社段,1028-1,120.3824185022,22.9408590084
348,D35,龍崎區,7036,番社段,1030,120.3820632176,22.9370012243
349,D35,龍崎區,7036,番社段,1031,120.3835949374,22.9370554892
350,D35,龍崎區,7036,番社段,1032,120.3820137976,22.9380929109
351,D35,龍崎區,7036,番社段,1037,120.3848052158,22.9358518893
352,D35,龍崎區,7036,番社段,1041,120.3829719205,22.9346673944
353,D35,龍崎區,7036,番社段,1042,120.3817562769,22.9350999940
354,D35,龍崎區,7036,番社段,1043,120.3816101054,22.9357515826
355,D35,龍崎區,7036,番社段,1047,120.3800345355,22.9342714420
356,D35,龍崎區,7036,番社段,1051,120.3815885792,22.9320914784
357,D35,龍崎區,7036,番社段,1052,120.3826453043,22.9334588128
358,D35,龍崎區,7036,番社段,1054,120.3830015403,22.9313514543
359,D35,龍崎區,7036,番社段,1059,120.3857264946,22.9304184672
360,D35,龍崎區,7036,番社段,1061,120.3844177709,22.9291852912
361,D35,龍崎區,7036,番社段,1063,120.3833194205,22.9290863162
362,D35,龍崎區,7036,番社段,1064,120.3821842414,22.9279597184
363,D35,龍崎區,7036,番社段,1065,120.3823847692,22.9296383112
364,D35,龍崎區,7036,番社段,1066,120.3815768300,22.9291900862
365,D35,龍崎區,7036,番社段,1071,120.3759710806,22.9228084048
366,D35,龍崎區,7036,番社段,1076,120.3748661957,22.9170491391
367,D35,龍崎區,7036,番社段,1077,120.3745529606,22.9154975393
368,D35,龍崎區,7036,番社段,1079,120.3735056956,22.9136793774
369,D35,龍崎區,7036,番社段,1-1,120.4285508466,22.9432058399
370,D35,龍崎區,7036,番社段,2,120.4281919298,22.9432654107
371,D35,龍崎區,7036,番社段,4,120.4275414564,22.9422237648
372,D35,龍崎區,7036,番社段,4-2,120.4277462794,22.9422366424
373,D35,龍崎區,7036,番社段,4-3,120.4274730501,22.9418924715
374,D35,龍崎區,7036,番社段,4-4,120.4277565577,22.9420105445
375,D35,龍崎區,7036,番社段,12,120.4265091159,22.9408430610
376,D35,龍崎區,7036,番社段,12-1,120.4265041219,22.9410628393
377,D35,龍崎區,7036,番社段,12-3,120.4277492720,22.9397825436
378,D35,龍崎區,7036,番社段,13,120.4267811839,22.9412488002
379,D35,龍崎區,7036,番社段,13-1,120.4284756167,22.9417608189
380,D35,龍崎區,7036,番社段,13-2,120.4278032915,22.9415711488
381,D35,龍崎區,7036,番社段,14,120.4283258892,22.9406824727
382,D35,龍崎區,7036,番社段,14-1,120.4283176419,22.9404962918
383,D35,龍崎區,7036,番社段,5,120.4247309919,22.9435837745
384,D35,龍崎區,7036,番社段,6,120.4234979216,22.9437417279
385,D35,龍崎區,7036,番社段,6-2,120.4251693363,22.9435763023
386,D35,龍崎區,7036,番社段,6-3,120.4254325999,22.9435673196
387,D35,龍崎區,7036,番社段,6-8,120.4232668042,22.9438734308
388,D35,龍崎區,7036,番社段,6-9,120.4232129842,22.9439023325
389,D35,龍崎區,7036,番社段,6-16,120.4233686528,22.9431840475
390,D35,龍崎區,7036,番社段,6-17,120.4235236948,22.9440129964
391,D35,龍崎區,7036,番社段,6-18,120.4235914572,22.9439944924
392,D35,龍崎區,7036,番社段,6-19,120.4234366847,22.9437815661
